word,length,n_synsets,n_synonyms,n_consonants,n_vowels,n_hypernyms,n_hyponyms,n_consonantconjuncts,n_syllables,frequency,label
परचम,0.5,0.333333333333333,0.005524861878453,1,0,0.875,0,0,1,0,1
भविष्य,0.375,0.142857142857143,0.205479452054794,0.5,0.25,0.244897959183673,0.608695652173913,0.5,0.5,1,1
उत्तरकाल,0.625,0,0.068493150684932,0.75,0.5,0.23469387755102,0,0.5,1,0.004048582995951,1
अवर्त्तमान,0.875,0,0.068493150684932,1,0.75,0.23469387755102,0,1,1,0,1
अवर्तमान,0.625,0,0.068493150684932,0.75,0.5,0.23469387755102,0,0.5,1,0.000168690958165,1
भविष्यकाल,0.75,0,0,1,0.5,0,0.608695652173913,0.5,1,0.003036437246964,1
भविष्यत्,0.625,0,0,0.75,0.5,0,0.608695652173913,1,0.5,0.004048582995951,1
इस्तक़बाल,0.75,0.142857142857143,0.136986301369863,0.75,0.75,0.183673469387755,0.608695652173913,0.5,0.5,0,1
चिदानन्द,0.285714285714286,0,0.642857142857143,0.25,0.333333333333333,0.982456140350877,1,0.333333333333333,0.25,0.006663249615582,1
अमृतगर्भ,0.285714285714286,0,0.642857142857143,0.25,0.333333333333333,0.982456140350877,1,0.333333333333333,0.5,0,1
ब्रह्मोपनिषद्,1,0,0,1,1,0,0,1,1,0,1
ब्रह्मोपनिषद,0.857142857142857,0,0,1,0.666666666666667,0,0,0.666666666666667,1,0.001025115325474,1
प्रसंग,0.4,0.5,1,0.5,0.5,0.041666666666667,0.545454545454545,0.5,0.5,0.233053302433372,1
बाबत,0,0,0,0.25,0,0,0,0,0,0.053012746234067,1
प्रकीर्ण,0.8,1,0.346153846153846,0.75,1,1,0.090909090909091,1,0.5,0.004345307068366,1
प्रकीर्णक,1,0.5,0.211538461538462,1,1,0.375,0.090909090909091,1,1,0.000434530706837,1
अम्र,0,0,0,0,0.5,0,0,0.5,0,0.004634994206257,1
तुरंगशाला,0.857142857142857,0,0.150943396226415,0.75,1,0.014084507042254,0,0,0.75,0,1
पेलिशाला,0.714285714285714,0,0.150943396226415,0.5,1,0.014084507042254,0,0,0.5,0,1
तुरंगमशाला,1,0,0.150943396226415,1,1,0.014084507042254,0,0,1,0,1
अश्वगोष्ठ,0.857142857142857,0,0.150943396226415,0.75,1,0.014084507042254,0,1,0.25,0,1
मंदुरा,0.428571428571429,0.142857142857143,0.226415094339623,0.25,0.666666666666667,0.049295774647887,0.122448979591837,0,0.25,0,1
मन्दुरा,0.571428571428571,0.142857142857143,0.226415094339623,0.5,0.666666666666667,0.049295774647887,0.122448979591837,0.5,0.25,0,1
आखर,0,0.857142857142857,1,0,0,0.443661971830986,1,0,0,0.034545454545455,1
मजीरा,0.285714285714286,0,0,0.25,0.333333333333333,0,0,0,0.25,0.029090909090909,1
अर्य,0,0.5,1,0,0,1,1,0.5,0,0.001725625539258,1
अर्य्य,0.4,0.5,1,0.25,1,1,1,1,0,0,1
अर्ह्य,0.4,0.25,0.209302325581395,0.25,1,0,0,1,0,0,1
अंबुधि,0.428571428571429,0,0.350282485875706,0,0.8,0,0.048507462686567,0,0.5,0.000121300339641,1
अम्बुधि,0.571428571428571,0,0.350282485875706,0.2,0.8,0,0.048507462686567,0.5,0.5,0.000121300339641,1
पयोधि,0.285714285714286,0,0.350282485875706,0.2,0.4,0,0.048507462686567,0,0.5,0.000970402717128,1
तोयनिधि,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0.000121300339641,1
पयोनिधि,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0.000121300339641,1
वारिधि,0.428571428571429,0,0.350282485875706,0.2,0.6,0,0.048507462686567,0,0.5,0.000242600679282,1
तिमिकोश,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.5,0,1
वारिनिधि,0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0,0.75,0,1
अपांनाथ,0.571428571428571,0,0.350282485875706,0.2,0.8,0,0.048507462686567,0,0.5,0,1
अपांनिधि,0.714285714285714,0,0.350282485875706,0.2,1,0,0.048507462686567,0,0.75,0,1
अपांपति,0.571428571428571,0.1,0.570621468926554,0.2,0.8,0.284615384615385,0.048507462686567,0,0.5,0,1
वारींद्र,0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0.5,0.5,0.000849102377487,1
वारीन्द्र,0.857142857142857,0,0.350282485875706,0.6,0.8,0,0.048507462686567,1,0.5,0.000242600679282,1
वारिराशि,0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0,0.75,0,1
पाथोधि,0.428571428571429,0,0.350282485875706,0.2,0.6,0,0.048507462686567,0,0.5,0.000121300339641,1
मगरधर,0.285714285714286,0,0.350282485875706,0.6,0,0,0.048507462686567,0,0.75,0,1
अबिंधन,0.428571428571429,0.1,0.406779661016949,0.2,0.6,0.576923076923077,0.048507462686567,0,0.5,0,1
अबिन्धन,0.571428571428571,0.1,0.406779661016949,0.4,0.6,0.576923076923077,0.048507462686567,0.5,0.5,0,1
नदीपति,0.428571428571429,0.1,0.570621468926554,0.4,0.4,0.284615384615385,0.048507462686567,0,0.5,0,1
नदीभल्लातक,1,0.1,0.570621468926554,1,0.6,0.284615384615385,0.048507462686567,0.5,1,0,1
झषनिकेत,0.571428571428571,0.1,0.401129943502825,0.6,0.4,0.107692307692308,0.10634328358209,0,0.75,0,1
तोयराशि,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0,1
पाथोनिधि,0.714285714285714,0,0.350282485875706,0.4,0.8,0,0.048507462686567,0,0.75,0,1
अमीनिधि,0.571428571428571,0.1,1,0.2,0.8,0.007692307692308,0.111940298507463,0,0.75,0,1
शुद्धोद,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0.5,0.25,0,1
तरंत,0.142857142857143,0.2,0.751412429378531,0.2,0.2,0.107692307692308,1,0,0.25,0,1
अवधिमान,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0,1
अवारपार,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0,1
रत्नगर्भ,0.714285714285714,0.1,0.576271186440678,0.8,0.4,0.384615384615385,0.048507462686567,1,0.5,0.000121300339641,1
तोयालय,0.428571428571429,0,0.350282485875706,0.4,0.4,0,0.048507462686567,0,0.5,0,1
परांगव,0.428571428571429,0,0.350282485875706,0.4,0.4,0,0.048507462686567,0,0.5,0,1
पाथनिधि,0.571428571428571,0,0.350282485875706,0.4,0.6,0,0.048507462686567,0,0.75,0,1
वरुणवास,0.571428571428571,0,0.350282485875706,0.6,0.4,0,0.048507462686567,0,0.75,0,1
अधिरथी,0.428571428571429,0.1,0.853107344632768,0.2,0.6,0.284615384615385,0.048507462686567,0,0.5,0,1
यादःपति,0.571428571428571,0.1,0.570621468926554,0.4,0.6,0.284615384615385,0.048507462686567,0,0.5,0,1
वरुणोद,0.428571428571429,0,0.350282485875706,0.4,0.4,0,0.048507462686567,0,0.5,0,1
सलिलपति,0.571428571428571,0.1,0.570621468926554,0.6,0.4,0.284615384615385,0.048507462686567,0,0.75,0,1
सलिलराज,0.571428571428571,0.1,0.570621468926554,0.6,0.4,0.284615384615385,0.048507462686567,0,0.75,0,1
विप्र,0.142857142857143,0,0,0.2,0.25,0,0,0.333333333333333,0,0.01397647860917,1
बाम्हन,0.285714285714286,0.153846153846154,0.026041666666667,0.4,0.25,0.03125,0.007171314741036,0.333333333333333,0,0.002897562638486,1
त्रयीमुख,0.571428571428571,0,0,0.6,0.5,0,0,0.333333333333333,1,0,1
द्विजपति,0.571428571428571,0.230769230769231,1,0.6,0.5,0.098214285714286,0.032669322709163,0.333333333333333,1,0,1
